,company,model,engine,engine2,year,km,location,money
311,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
312,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
313,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
314,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
315,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
316,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
317,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
318,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
319,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
320,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
321,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
322,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
323,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
324,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
325,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
326,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
327,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
328,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
329,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
330,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
331,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
332,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
333,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
334,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
335,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
336,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
337,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
338,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
339,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
340,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
341,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
342,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
343,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
344,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
345,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
346,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
347,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
348,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
349,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
350,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
351,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
352,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
353,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
354,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
355,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
356,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
357,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
358,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
359,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
360,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
361,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
362,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
363,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
364,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
365,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
366,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
367,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
368,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
369,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
370,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
371,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
372,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
373,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
374,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
375,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
376,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
377,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
378,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
379,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
380,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
381,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
382,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
383,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
384,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
385,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
386,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
387,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
388,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
389,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
390,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
391,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
392,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
393,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
394,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
395,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
396,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
397,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
