,company,model,engine,engine2,year,km,location,money
111,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
112,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
113,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
114,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
115,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
116,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
117,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
118,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
119,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
120,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
121,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
122,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
123,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
124,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
125,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
126,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
127,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
128,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
129,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
130,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
131,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
132,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
133,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
134,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
135,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
136,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
137,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
138,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
139,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
140,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
141,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
142,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
143,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
144,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
145,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
146,현대,그랜저 HG,LPG HG300 모던,,13/06(14년식),"142,923km",광주,"1,189"
147,현대,그랜저 HG,LPG HG300 모던,,13/04(14년식),"131,076km",대전,"1,080"
148,현대,그랜저 HG,HG240 모던,,13/06(14년식),"128,300km",서울,"1,239"
149,현대,그랜저 HG,HG300 프리미엄,,13/09(14년식),"174,902km",경기,899
150,현대,그랜저 HG,LPG HG300 모던,,13/08(14년식),"137,626km",인천,"1,170"
